wlVal wlErr Intensity CalcInts
3.44e+02 2.89e-03 -0.74 -3.104008e-1
3.54e+02 4.08e-03 -0.59 -2.767857e-1
3.65e+02 5.81e-03 -0.72 -2.448980e-1
3.77e+02 8.36e-03 -0.45 -2.151747e-1
3.91e+02 1.22e-02 -0.40 -1.859729e-1
4.08e+02 1.82e-02 -0.58 -1.568614e-1
4.28e+02 2.79e-02 -0.60 -1.295333e-1
4.52e+02 4.42e-02 -0.62 -1.041365e-1
4.81e+02 7.35e-02 -0.60 -8.120380e-2
5.19e+02 1.30e-01 -0.51 -5.990833e-2
5.68e+02 2.53e-01 -0.53 -4.176027e-2
6.38e+02 5.63e-01 -0.60 -2.623457e-2
7.44e+02 1.58e+00 -0.52 -1.418616e-2
9.39e+02 7.08e+00 0.03 -5.591062e-3
1.50e+03 1.29e+02 -0.15 -8.586015e-4
