CalcInts
-3.104008e-1
-2.767857e-1
-2.448980e-1
-2.151747e-1
-1.859729e-1
-1.568614e-1
-1.295333e-1
-1.041365e-1
-8.120380e-2
-5.990833e-2
-4.176027e-2
-2.623457e-2
-1.418616e-2
-5.591062e-3
-8.586015e-4
