wlVal wlErr Intensity
3.44e+02 2.89e-03 -0.74
3.54e+02 4.08e-03 -0.59
3.65e+02 5.81e-03 -0.72
3.77e+02 8.36e-03 -0.45
3.91e+02 1.22e-02 -0.40
4.08e+02 1.82e-02 -0.58
4.28e+02 2.79e-02 -0.60
4.52e+02 4.42e-02 -0.62
4.81e+02 7.35e-02 -0.60
5.19e+02 1.30e-01 -0.51
5.68e+02 2.53e-01 -0.53
6.38e+02 5.63e-01 -0.60
7.44e+02 1.58e+00 -0.52
9.39e+02 7.08e+00 0.03
1.50e+03 1.29e+02 -0.15
