V I VErr IErr
-20 -0.909 1.0 0.001
-71 -0.795 1.0 0.001
-156 -0.609 1.0 0.001
-200 -0.521 1.0 0.001
-245 -0.417 1.0 0.001
-305 -0.305 1.0 0.001
-383 -0.177 1.0 0.001
-428 -0.115 1.0 0.001
-463 -0.078 1.0 0.001
-516 -0.039 1.0 0.001
-577 -0.016 1.0 0.001
-633 -0.006 1.0 0.001
-697 -0.0007 1.0 0.001
-723 0.0005 1.0 0.001
