V I
-24 -0.0367
-77 -0.031
-127 -0.025  
-227 -0.0135  
-333 -0.0074  
-362 -0.0058  
-397 -0.0039  
-425 -0.0027  
-461 -0.0019  
-497 -0.00106  
-530 -0.00071  
-602 -0.00019  
-626 -0.00013  
-642 -0.00009  
-678 -0.00002  
-702 0  
-725 0.00001  
