V I VErr IErr
-24 -0.0367 1.0 0.001
-77 -0.031 1.0 0.001
-127 -0.025 1.0 0.001
-227 -0.0135 1.0 0.001
-333 -0.0074 1.0 0.001
-362 -0.0058 1.0 0.001
-397 -0.0039 1.0 0.001
-425 -0.0027 1.0 0.001
-461 -0.0019 1.0 0.001
-497 -0.00106 1.0 0.001
-530 -0.00071 1.0 0.001
-602 -0.00019 1.0 0.001
-626 -0.00013 1.0 0.001
-642 -0.00009 1.0 0.001
-678 -0.00002 1.0 0.001
-702 0 1.0 0.001
-725 0.00001 1.0 0.001
