V I
-61 -0.0073 
-101 -0.0061   
-131 -0.0058   
-173 -0.005   
-205 -0.0044   
-239 -0.0029   
-250 -0.0029   
-288 -0.0023   
-327 -0.0019   
-352 -0.0015   
-398 -0.0012   
-447 -0.0009   
-510 -0.00065   
-547 -0.00053   
-611 -0.00037   
-658 -0.00028   
-719 -0.00021   
-799 -0.00013   
-852 -0.00007   
-897 -0.00003   
-913 -0.00005   
-963 -0.00002   
-1007 0   
-1047 0.00002   
