X Y Xerr Yerr
291 60.8 1 0.1
270 56.3 1 0.1
250 52.1 1 0.1
230 47.6 1 0.1
210 43.1 1 0.1
190 38.4 1 0.1
170 33.5 1 0.1
150 28.7 1 0.1
130 23.8 1 0.1
110 18.8 1 0.1
90 13.5 1 0.1
70 8.3 1 0.1
49 2.8 1 0.1
30 -2 1 0.1
10 -7.3 1 0.1
-10 -12.8 1 0.1
-30 -18.1 1 0.1
-50 -23.3 1 0.1
-70 -28.6 1 0.1
-90 -33.6 1 0.1
-110 -38.9 1 0.1
-130 -44 1 0.1
-150 -48.7 1 0.1
-170 -53.6 1 0.1
-191 -58.5 1 0.1
-210 -63.1 1 0.1
-230 -67.4 1 0.1
-250 -71.8 1 0.1
-270 -76.2 1 0.1
-290 -80.3 1 0.1
