X Y xErr yErr
-25 9.127e-29 1.0 1.366e-29 
-20 2.128e-28 1.0 4.081e-29
-15 6.488e-28 1.0 1.690e-28
-10 3.202e-27 1.0 1.268e-27
-5  5.046e-26 1.0 4.026e-26
5   5.046e-26 1.0 4.026e-26
10  3.202e-27 1.0 1.268e-27
15  6.488e-28 1.0 1.690e-28
20  2.128e-28 1.0 4.081e-29
25  9.127e-29 1.0 1.366e-29
