V I 
-16 -1.41   
-63 -1.251   
-120 -1.069   
-196 -0.834   
-307 -0.515   
-391 -0.297   
-418 -0.24   
-462 -0.152   
-501 -0.094   
-560 -0.0361   
-624 -0.0095   
-672 -0.00065   
-721 0.004   
