V I VErr IErr
-16 -1.41 1.0 0.001
-63 -1.251 1.0 0.001
-120 -1.069 1.0 0.001
-196 -0.834 1.0 0.001
-307 -0.515 1.0 0.001
-391 -0.297 1.0 0.001
-418 -0.24 1.0 0.001
-462 -0.152 1.0 0.001
-501 -0.094 1.0 0.001
-560 -0.0361 1.0 0.001
-624 -0.0095 1.0 0.001
-672 -0.00065 1.0 0.001
-721 0.004 1.0 0.001
