X Y xErr yErr
-25 -0.0   1.0 0.0      
-20 -0.010 1.0 0.0005152
-15 -0.005 1.0 0.0003495
-10 -0.0   1.0 0.0      
-5  -1.615 1.0 0.3222726
5   2.665  1.0 0.5318045
10  4.342  1.0 0.4298250
15  0.011  1.0 0.0007097
20  0.0    1.0 0.0      
25  0.009  1.0 0.0003312
