Set,Run #1,Run #1,Run #1
Angle (deg),Date and Time,Time (s),Relative Intensity (%)
110,03/26/2019 03:19:49 pm,111.800,-11.24
112,03/26/2019 03:20:03 pm,125.050,-10.99
114,03/26/2019 03:30:54 pm,776.200,-10.47
116,03/26/2019 03:20:44 pm,166.800,-10.48
118,03/26/2019 03:20:58 pm,180.250,-10.22
120,03/26/2019 03:21:09 pm,191.500,-9.50
122,03/26/2019 03:21:22 pm,204.800,-5.10
124,03/26/2019 03:21:48 pm,230.900,-2.03
126,03/26/2019 03:26:44 pm,526.600,-5.42
128,03/26/2019 03:26:28 pm,510.600,-8.57
130,03/26/2019 03:28:45 pm,647.400,-8.16
132,03/26/2019 03:29:06 pm,668.150,-8.52
134,03/26/2019 03:27:36 pm,578.800,-8.55
136,03/26/2019 03:27:46 pm,588.450,-8.10
138,03/26/2019 03:27:57 pm,599.350,-8.44
140,03/26/2019 03:28:17 pm,619.900,-8.61
142,03/26/2019 03:28:30 pm,632.850,-8.32
144,,,
146,,,
148,,,
150,,,
