Angle,Intensity
110,-9.86
112,-9.40
114,-9.02
116,-8.78
118,-9.17
120,-8.65
122,-9.23
124,-0.19
126,-9.04
128,-10.13
130,-10.07
132,-10.25
134,-10.33
136,-10.15
138,-10.22
140,-10.33
142,-10.28
144,-10.02
146,-10.01
