Set,Run #1,Run #1,Run #1
Angle deg (units),Date and Time,Time (s),Relative Intensity (%)
110,03/26/2019 04:19:16 pm,358.600,-10.24
112,03/26/2019 04:19:05 pm,347.800,-10.32
114,03/26/2019 04:18:51 pm,333.250,-10.36
116,03/26/2019 04:18:30 pm,312.000,-10.01
118,03/26/2019 04:18:14 pm,296.350,-9.77
120,03/26/2019 04:18:01 pm,283.000,-9.57
122,03/26/2019 04:16:22 pm,184.800,-9.47
124,03/26/2019 04:16:32 pm,194.600,-5.61
126,03/26/2019 04:16:42 pm,204.100,-9.10
128,03/26/2019 04:16:50 pm,212.650,-9.50
130,03/26/2019 04:17:13 pm,235.950,-9.52
132,03/26/2019 04:17:30 pm,252.850,-9.40
134,03/26/2019 04:17:44 pm,266.000,-9.37
136,,,
138,,,
140,,,
142,,,
144,,,
146,,,
148,,,
