Angle,Intensity
110,-10.24
112,-10.32
114,-10.36
116,-10.01
118,-9.77
120,-9.57
122,-9.47
124,-5.61
126,-9.10
128,-9.50
130,-9.52
132,-9.40
134,-9.37
