V I VErr IErr
-59 -0.509 1.0 0.001
-96 -0.464 1.0 0.001
-200 -0.344 1.0 0.001
-356 -0.183 1.0 0.001
-499 -0.083 1.0 0.001
-607 -0.0468 1.0 0.001
-704 -0.028 1.0 0.001
-860 -0.0156 1.0 0.001
-948 -0.007 1.0 0.001
-1034 -0.0032 1.0 0.001
-1044 -0.0029 1.0 0.001
