X Y Xerr Yerr
-30 -45.4 1 0.1
-25 -38.8 1 0.1
-20 -31.6 1 0.1
-15 -25.4 1 0.1
-10 -17.4 1 0.1
-5  -10.3 1 0.1
0   -1.5 1  0.1
5   6    1  0.1
10  12.6 1  0.1
15  19.4 1  0.1
20  26   1  0.1
25  34.7 1  0.1
30  41.8 1  0.1
