V I VErr IErr
-30 -1.43 1.0 0.001
-252 -0.73 1.0 0.001
-353 -0.447 1.0 0.001
-425 -0.275 1.0 0.001
-491 -0.147 1.0 0.001
-513 -0.114 1.0 0.001
-594 -0.0376 1.0 0.001
-650 -0.0149 1.0 0.001
-710 -0.0028 1.0 0.001
-740 0.001 1.0 0.001
