V I VErr IErr
-46 -1.335 1.0 0.001
-319 -0.511 1.0 0.001
-370 -0.377 1.0 0.001
-468 -0.167 1.0 0.001
-519 -0.089 1.0 0.001
-595 -0.028 1.0 0.001
-656 -0.0082 1.0 0.001
-704 -0.0003 1.0 0.001
-734 0.003 1.0 0.001
