V I VErr IErr
-48 -1.283 1.0 0.001
-220 -0.758 1.0 0.001
-293 -0.548 1.0 0.001
-317 -0.483 1.0 0.001
-360 -0.374 1.0 0.001
-444 -0.187 1.0 0.001
-522 -0.699 1.0 0.001
-560 -0.0381 1.0 0.001
-611 -0.014 1.0 0.001
-656 -0.0033 1.0 0.001
-680 -0.00022 1.0 0.001
-726 0.00451 1.0 0.001
