V I 
-48 -1.283    
-220 -0.758    
-293 -0.548    
-317 -0.483    
-360 -0.374    
-444 -0.187    
-522 -0.699    
-560 -0.0381    
-611 -0.014    
-656 -0.0033    
-680 -0.00022    
-726 0.00451    
