V I
-21 -0.668   
-66 -0.583   
-89 -0.539   
-110 -0.497   
-157 -0.418   
-185 -0.367   
-211 -0.329   
-245 -0.275   
-301 -0.193   
-329 -0.156   
-330 -0.152   
-357 -0.09   
-421 -0.059   
-476 -0.026   
-517 -0.0125   
-583 -0.0025   
-611 -0.0007   
-652 -0.00085   
