V I VErr IErr
-21 -0.668 1.0 0.001
-66 -0.583 1.0 0.001
-89 -0.539 1.0 0.001
-110 -0.497 1.0 0.001
-157 -0.418 1.0 0.001
-185 -0.367 1.0 0.001
-211 -0.329 1.0 0.001
-245 -0.275 1.0 0.001
-301 -0.193 1.0 0.001
-329 -0.156 1.0 0.001
-330 -0.152 1.0 0.001
-357 -0.09 1.0 0.001
-421 -0.059 1.0 0.001
-476 -0.026 1.0 0.001
-517 -0.0125 1.0 0.001
-583 -0.0025 1.0 0.001
-611 -0.0007 1.0 0.001
-652 -0.00085 1.0 0.001
