V I VErr IErr
-76 -0.38 0.1 0.001
-151 -0.281 0.1 0.001
-181 -0.242 0.1 0.001
-209 -0.207 0.1 0.001
-238 -0.173 0.1 0.001
-306 -0.105 0.1 0.001
-326 -0.086 0.1 0.001
-353 -0.066 0.1 0.001
-419 -0.03 0.1 0.001
-455 -0.018 0.1 0.001
-522 -0.0054 0.1 0.001
-565 -0.002 0.1 0.001
-616 -0.0002 0.1 0.001
-704 0.0009 0.1 0.001
