V I 
-76 -0.38  
-151 -0.281  
-181 -0.242  
-209 -0.207  
-238 -0.173  
-306 -0.105  
-326 -0.086  
-353 -0.066  
-419 -0.03  
-455 -0.018  
-522 -0.0054  
-565 -0.002  
-616 -0.0002  
-704 0.0009  
