V I
-31 -0.26
-41 -0.252
-65 -0.237
-98 -0.215
-115 -0.204
-133 -0.193
-200 -0.151
-257 -0.119
-293 -0.099
-313 -0.089
-351 -0.071
-370 -0.063
-417 -0.046
-468 -0.031
-512 -0.0218
-541 -0.0169
-599 -0.0104
-625 -0.0084
-680 -0.0053
-732 -0.0035
-803 -0.0018
-833 -0.0012
-873 -0.0007
-911 -0.0003
-950 0.00001
