V I
-121 -0.98   
-195 -0.766   
-261 -0.58   
-292 -0.503   
-316 -0.44   
-372 -0.303   
-435 -0.174   
-463 -0.13   
-490 -0.09   
-530 -0.0503   
-580 -0.0209   
-605 -0.0124   
-650 -0.0031   
-702 -0.0024   
-739 0.0047   
-710 0.003   
