V I
-40 -0.233  
-86 -0.204  
-111 -0.189  
-147 -0.164  
-211 -0.128  
-256 -0.104  
-306 -0.078  
-357 -0.057  
-424 -0.035  
-489 -0.022  
-527 -0.0148  
-563 -0.0111  
-597 -0.0085  
-620 -0.0071  
-632 -0.0065  
-646 -0.0059  
-678 -0.0045  
-701 -0.0037  
-726 -0.003  
-740 -0.0028  
-774 -0.0019  
-844 -0.00084  
-894 -0.00034  
-902 -0.00026  
-922 -0.00015  
-961 0.00001  
