wlVal wlErr Intensity CalcInts
3.44e+02 2.89e-03 -2.37 -3.772735
3.54e+02 4.08e-03 -2.82 -3.364163
3.65e+02 5.81e-03 -2.46 -2.976588
3.77e+02 8.36e-03 -2.43 -2.615319
3.91e+02 1.22e-02 -2.11 -2.260389
4.08e+02 1.82e-02 -2.37 -1.906556
4.28e+02 2.79e-02 -2.20 -1.574400
4.52e+02 4.42e-02 -2.29 -1.265716
4.81e+02 7.35e-02 -2.63 -9.869833e-1
5.19e+02 1.30e-01 -2.32 -7.281497e-1
5.68e+02 2.53e-01 -2.21 -5.075710e-1
6.38e+02 5.63e-01 -2.09 -3.188654e-1
7.44e+02 1.58e+00 -2.03 -1.724243e-1
9.39e+02 7.08e+00 -0.71 -6.795599e-2
1.50e+03 1.29e+02 -0.31 -1.043578e-2
