CalcInts
-3.772735
-3.364163
-2.976588
-2.615319
-2.260389
-1.906556
-1.574400
-1.265716
-9.869833e-1
-7.281497e-1
-5.075710e-1
-3.188654e-1
-1.724243e-1
-6.795599e-2
-1.043578e-2
