wlVal wlErr Intensity CalcInts
3.44e+02 2.89e-03 -1.15 -4.304002
3.54e+02 4.08e-03 -1.46 -3.837896
3.65e+02 5.81e-03 -1.25 -3.395743
3.77e+02 8.36e-03 -1.09 -2.983602
3.91e+02 1.22e-02 -2.48 -2.578690
4.08e+02 1.82e-02 -1.12 -2.175032
4.28e+02 2.79e-02 -1.06 -1.796103
4.52e+02 4.42e-02 -2.10 -1.443951
4.81e+02 7.35e-02 -1.03 -1.125968
5.19e+02 1.30e-01 0.38 -8.306858e-1
5.68e+02 2.53e-01 0.37 -5.790458e-1
6.38e+02 5.63e-01 0.65 -3.637672e-1
7.44e+02 1.58e+00 4.39 -1.967046e-1
9.39e+02 7.08e+00 14.40 -7.752538e-2
1.50e+03 1.29e+02 9.03 -1.190532e-2
