CalcInts
-4.304002
-3.837896
-3.395743
-2.983602
-2.578690
-2.175032
-1.796103
-1.443951
-1.125968
-8.306858e-1
-5.790458e-1
-3.637672e-1
-1.967046e-1
-7.752538e-2
-1.190532e-2
