X Y xErr yErr
-25	0.011 1.0 0.00041        
-20	0.017 1.0 0.00082    
-15	0.042 1.0 0.00275      
-10	0.026 1.0 0.00259      
-5	0.373 1.0 0.07450      
-2.5	2.464 1.0 0.98492      
1.25	3.826 1.0 3.05994
5	7.002 1.0 2.78167      
2.5	6.959 1.0 1.39680      
10	0.059 1.0 0.00583      
15	0.020 1.0 0.00127      
20	0.017 1.0 0.00082      
