V I
-37 -0.733
-130 -0.603
-164 -0.563
-229 -0.472
-314 -0.365
-447 -0.215
-525 -0.146
-624 -0.085
-731 -0.0457
-752 -0.041
-790 -0.032
-820 -0.026
-890 -0.0155
-937 -0.0104
-1016 -0.0038
-1072 -0.0007
-1118 0.0011
