V I VErr IErr
-37 -0.733 1.0 0.001
-130 -0.603 1.0 0.001
-164 -0.563 1.0 0.001
-229 -0.472 1.0 0.001
-314 -0.365 1.0 0.001
-447 -0.215 1.0 0.001
-525 -0.146 1.0 0.001
-624 -0.085 1.0 0.001
-731 -0.0457 1.0 0.001
-752 -0.041 1.0 0.001
-790 -0.032 1.0 0.001
-820 -0.026 1.0 0.001
-890 -0.0155 1.0 0.001
-937 -0.0104 1.0 0.001
-1016 -0.0038 1.0 0.001
-1072 -0.0007 1.0 0.001
-1118 0.0011 1.0 0.001
