X Y Xerr Yerr
110 15.4 1 0.1 
107 17.2 1 0.1
103 19.3 1 0.1
99 22.1 1 0.1
95 25.6 1 0.1
91 29.6 1 0.1
87 33.5 1 0.1
83 38.3 1 0.1
79 42.9 1 0.1
75 47.3 1 0.1
71 51.2 1 0.1
67 55.4 1 0.1
63 58.3 1 0.1
59 61 1 0.1
54 63.3 1 0.1
49 64.5 1 0.1
45 65 1 0.1
