V I
-26 -2.55  
-455 -1.11  
-611 -0.70  
-720 -0.484  
-803 -0.347  
-968 -0.161  
-1047 -0.103  
-1097 -0.074  
-1163 -0.044  
-1225 -0.0217  
-1325 0.0045  
