V I
-31 -0.062
-59 -0.058
-96 -0.052
-133 -0.0456
-163 -0.041
-177 -0.039
-204 -0.0343
-230 -0.0308
-256 -0.0273
-282 -0.024
-330 -0.0185
-374 -0.0144
-397 -0.0124
-435 -0.0098
-479 -0.0072
-515 -0.0056
-547 -0.0046
-591 -0.0035
-628 -0.0028
-664 -0.00225
-707 -0.00178
-751 -0.00139
-800 -0.001
-821 -0.00085
-840 -0.00076
-861 -0.00062
-887 -0.00054
-912 -0.00043
-949 -0.0003
-991 -0.00019
-1009 -0.00014
-1031 -0.000009
-1049 -0.00003
