X Y
-30 1.720e-27
-25 3.370e-27
-20 7.857e-27 
-15 2.396e-26
-10 1.182e-25
-5  1.863e-24
5   1.863e-24
10  1.182e-25
15  2.396e-26
20  7.857e-27 
25  3.370e-27
30  1.720e-27
