X Y xErr yErr
-25   3.370e-27 1.0 5.046e-28
-20   7.857e-27 1.0 1.507e-27
-15   2.396e-26 1.0 6.242e-27
-10   1.182e-25 1.0 4.681e-26
-5    1.863e-24 1.0 1.486e-24
-2.5  2.970e-23 1.0 4.749e-23
1.25  4.747e-22 1.0 1.518e-21
2.5   2.970e-23 1.0 4.749e-23
5     1.863e-24 1.0 1.486e-24
10    1.182e-25 1.0 4.681e-26
15    2.396e-26 1.0 6.242e-27
20    7.857e-27 1.0 1.507e-27
