CalcInts
-4.718241
-4.207275
-3.722567
-3.270759
-2.826877
-2.384368
-1.968969
-1.582924
-1.234337
-9.106353e-1
-6.347761e-1
-3.987780e-1
-2.156365e-1
-8.498681e-2
-1.305115e-2
