invTemp invVolt invTempErr invVoltErr lnInvVolt lnInvVoltErr
2.65E-03 0.86 7.03e-06 1.33e-07 -5.6143 3.6455e-05
2.67E-03 0.82 7.11e-06 1.33e-07 -5.6145 3.6447e-05
2.68E-03 0.78 7.18e-06 1.33e-07 -5.6147 3.6439e-05
2.69E-03 0.74 7.26e-06 1.33e-07 -5.6150 3.6430e-05
2.71E-03 0.71 7.34e-06 1.33e-07 -5.6151 3.6423e-05
2.72E-03 0.68 7.42e-06 1.33e-07 -5.6154 3.6414e-05
2.74E-03 0.65 7.50e-06 1.33e-07 -5.6156 3.6406e-05
2.75E-03 0.63 7.58e-06 1.32e-07 -5.6159 3.6397e-05
2.77E-03 0.61 7.67e-06 1.32e-07 -5.6160 3.6390e-05
2.78E-03 0.58 7.75e-06 1.32e-07 -5.6163 3.6382e-05
2.80E-03 0.56 7.84e-06 1.32e-07 -5.6165 3.6374e-05
2.83E-03 0.55 8.02e-06 1.32e-07 -5.6166 3.6369e-05
2.85E-03 0.52 8.11e-06 1.32e-07 
2.86E-03 0.52 8.20e-06 1.32e-07 
2.88E-03 0.51 8.30e-06 1.32e-07 
2.90E-03 0.51 8.39e-06 1.32e-07 
2.91E-03 0.51 8.49e-06 1.32e-07 
2.93E-03 0.50 8.59e-06 1.32e-07 
2.95E-03 0.50 8.69e-06 1.32e-07 
2.97E-03 0.50 8.80e-06 1.32e-07 
2.98E-03 0.50 8.90e-06 1.32e-07 
3.00E-03 0.50 9.01e-06 1.32e-07 
3.05E-03 0.51 9.29e-06 1.32e-07 
3.09E-03 0.52 9.58e-06 1.32e-07 
3.11E-03 0.53 9.70e-06 1.32e-07 
3.14E-03 0.53 9.88e-06 1.32e-07 
3.19E-03 0.55 1.02e-05 1.32e-07 

