wlVal
3.44e+02
3.54e+02
3.65e+02
3.77e+02
3.91e+02
4.08e+02
4.28e+02
4.52e+02
4.81e+02
5.19e+02
5.68e+02
6.38e+02
7.44e+02
9.39e+02
1.50e+03
