V I VErr IErr
-71 -1.38 1.0 0.001
-155 -1.19 1.0 0.001
-374 -0.78 1.0 0.001
-470 -0.633 1.0 0.001
-519 -0.55 1.0 0.001
-627 -0.42 1.0 0.001
-782 -0.268 1.0 0.001
-945 -0.159 1.0 0.001
-1044 -0.109 1.0 0.001
