V I VErr IErr
-80 -2.018 1.0 0.001
-247 -1.44 1.0 0.001
-622 -0.47 1.0 0.001
-761 -0.252 1.0 0.001
-858 -0.158 1.0 0.001
-914 -0.117 1.0 0.001
-982 -0.0757 1.0 0.001
-1028 -0.051 1.0 0.001
-1048 -0.045 1.0 0.001
