V I
-33 -1.28 
-140 -1.041  
-225 -0.851  
-303 -0.693  
-357 -0.58  
-433 -0.429  
-521 -0.298  
-586 -0.215  
-672 -0.137  
-829 -0.053  
-894 -0.033  
-912 -0.029  
-946 -0.021  
-1003 -0.011  
-1028 -0.0078  
-1045 -0.0058  
-1050 -0.0053  
