V I
-21 -0.239 
-202 -0.118   
-345 -0.051   
-419 -0.0253   
-512 -0.0085   
-568 -0.0048   
-680 -0.00073   
-695 -0.00054   
-708 -0.00029   
-731 0   
-741 0.00009   
