V I VErr IErr
-21 -0.239 1.0 0.001
-202 -0.118 1.0 0.001
-345 -0.051 1.0 0.001
-419 -0.0253 1.0 0.001
-512 -0.0085 1.0 0.001
-568 -0.0048 1.0 0.001
-680 -0.00073 1.0 0.001
-695 -0.00054 1.0 0.001
-708 -0.00029 1.0 0.001
-731 0 1.0 0.001
-741 0.00009 1.0 0.001
