1. 0 01.88
2. 0 00.66
3. 0 00.43
4. 0 00.44
5. 0 00.36
6. 0 00.44
7. 0 00.49
8. 0 00.43
9. 0 00.50
10. 0 00.53
11. 0 00.49
12. 0 00.47
13. 0 00.36
14. 0 00.53
15. 0 00.47
16. 0 00.51
17. 0 00.48
18. 0 00.38
19. 0 00.45
20. 0 00.41
21. 0 00.50
22. 0 00.43
23. 0 00.38
24. 0 00.37
25. 0 00.39
26. 0 00.50
27. 0 00.45
28. 0 00.45
29. 0 00.41
30. 0 00.41
31. 0 00.38
32. 0 00.45
33. 0 00.45
34. 0 00.59
35. 0 00.43
36. 0 00.42
37. 0 00.45
38. 0 00.43
39. 0 00.46
40. 0 00.48
41. 0 00.43
42. 0 00.46
43. 0 00.48
44. 0 00.37
45. 0 00.43
46. 0 00.45
47. 0 00.44
48. 0 00.38
49. 0 00.33
50. 0 00.41
51. 0 00.39
52. 0 00.50
53. 0 00.31
54. 0 00.38
55. 0 00.37
56. 0 00.43
57. 0 00.51
58. 0 01.63
