1. 0 00.79
2. 0 00.98
3. 0 02.49
4. 0 02.45
5. 0 02.40
6. 0 02.47
7. 0 03.24
8. 0 02.63
9. 0 02.27
10. 0 02.07
11. 0 03.60
12. 0 02.27
13. 0 02.15
14. 0 02.29
15. 0 01.78
16. 0 01.51
17. 0 03.77
18. 0 02.37
19. 0 02.12
20. 0 02.72
21. 0 01.75
22. 0 02.05
23. 0 02.12
24. 0 02.45
25. 0 02.49
26. 0 02.75
27. 0 02.60
28. 0 04.18
29. 0 02.27
30. 0 02.14
31. 0 02.10
32. 0 02.13
33. 0 03.21
34. 0 02.39
35. 0 02.08
36. 0 02.10
37. 0 02.44
38. 0 02.57
39. 0 02.50
40. 0 02.00
41. 0 04.10
42. 0 02.53
43. 0 02.53
44. 0 02.32
45. 0 01.75
46. 0 02.52
47. 0 02.37
48. 0 02.14
49. 0 02.41
50. 0 02.63
51. 0 02.27
52. 0 01.78
53. 0 02.66
54. 0 01.72
55. 0 02.39
56. 0 02.31
57. 0 01.63
