V I VErr IErr
-19 -0.0239 1.0 0.001
-26 -0.0228 1.0 0.001
-37 -0.022 1.0 0.001
-48 -0.0209 1.0 0.001
-76 -0.0182 1.0 0.001
-118 -0.0139 1.0 0.001
-176 -0.0087 1.0 0.001
-200 -0.0069 1.0 0.001
-239 -0.0047 1.0 0.001
-358 -0.001 1.0 0.001
-438 -0.00025 1.0 0.001
-508 0 1.0 0.001
